File,aid,Date,0,1
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012001_aid0001,aid0001,2012-01-01,22767,144223
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012002_aid0001,aid0001,2012-01-02,25242,142812
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012003_aid0001,aid0001,2012-01-03,19743,148348
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012004_aid0001,aid0001,2012-01-04,16606,137065
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012005_aid0001,aid0001,2012-01-05,17676,130037
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012006_aid0001,aid0001,2012-01-06,18893,126777
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012007_aid0001,aid0001,2012-01-07,28111,142288
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012008_aid0001,aid0001,2012-01-08,43458,134769
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012009_aid0001,aid0001,2012-01-09,69635,111791
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012010_aid0001,aid0001,2012-01-10,83709,115561
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012011_aid0001,aid0001,2012-01-11,88531,106439
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012012_aid0001,aid0001,2012-01-12,76852,124611
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012013_aid0001,aid0001,2012-01-13,77568,112770
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012014_aid0001,aid0001,2012-01-14,78130,114935
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012015_aid0001,aid0001,2012-01-15,79557,131659
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012016_aid0001,aid0001,2012-01-16,78210,119211
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012017_aid0001,aid0001,2012-01-17,78672,131956
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012018_aid0001,aid0001,2012-01-18,79100,111022
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012019_aid0001,aid0001,2012-01-19,72140,114102
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012020_aid0001,aid0001,2012-01-20,68730,115879
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012021_aid0001,aid0001,2012-01-21,60069,124028
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012022_aid0001,aid0001,2012-01-22,53884,126345
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012023_aid0001,aid0001,2012-01-23,38330,137973
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012024_aid0001,aid0001,2012-01-24,17166,151368
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012025_aid0001,aid0001,2012-01-25,10510,142671
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012026_aid0001,aid0001,2012-01-26,7646,117359
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012027_aid0001,aid0001,2012-01-27,3978,83497
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012028_aid0001,aid0001,2012-01-28,4186,119264
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012029_aid0001,aid0001,2012-01-29,4907,137264
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012030_aid0001,aid0001,2012-01-30,6713,147975
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012031_aid0001,aid0001,2012-01-31,6366,146813
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012032_aid0001,aid0001,2012-02-01,6823,145182
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012033_aid0001,aid0001,2012-02-02,10620,146008
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012034_aid0001,aid0001,2012-02-03,12326,146466
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012035_aid0001,aid0001,2012-02-04,12644,143551
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012036_aid0001,aid0001,2012-02-05,15522,145449
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012037_aid0001,aid0001,2012-02-06,17653,149708
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012038_aid0001,aid0001,2012-02-07,19288,141409
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012039_aid0001,aid0001,2012-02-08,21454,143191
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012040_aid0001,aid0001,2012-02-09,22080,145813
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012041_aid0001,aid0001,2012-02-10,25376,147033
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012042_aid0001,aid0001,2012-02-11,44071,140189
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012043_aid0001,aid0001,2012-02-12,41621,142831
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012044_aid0001,aid0001,2012-02-13,31290,145486
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012045_aid0001,aid0001,2012-02-14,34989,150966
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012046_aid0001,aid0001,2012-02-15,41326,142282
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012047_aid0001,aid0001,2012-02-16,39680,146896
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012048_aid0001,aid0001,2012-02-17,50383,148640
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012049_aid0001,aid0001,2012-02-18,50613,155725
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012050_aid0001,aid0001,2012-02-19,55687,134782
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012051_aid0001,aid0001,2012-02-20,67964,129962
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012052_aid0001,aid0001,2012-02-21,70682,132921
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012053_aid0001,aid0001,2012-02-22,82743,127318
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012054_aid0001,aid0001,2012-02-23,90973,113037
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012055_aid0001,aid0001,2012-02-24,101231,116483
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012056_aid0001,aid0001,2012-02-25,109582,99551
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012057_aid0001,aid0001,2012-02-26,119143,90235
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012058_aid0001,aid0001,2012-02-27,107369,111426
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012059_aid0001,aid0001,2012-02-28,115499,98518
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012060_aid0001,aid0001,2012-02-29,114786,106380
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012061_aid0001,aid0001,2012-03-01,113514,105930
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012062_aid0001,aid0001,2012-03-02,115346,100439
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012063_aid0001,aid0001,2012-03-03,121374,93705
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012064_aid0001,aid0001,2012-03-04,120922,92309
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012065_aid0001,aid0001,2012-03-05,120605,88228
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012066_aid0001,aid0001,2012-03-06,129120,82525
BRDF_Albedo_Band_Mandatory_Quality_Band1_2012067_aid0001,aid0001,2012-03-07,132507,82528
