File,aid,Date,0,1
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012001_aid0001,aid0001,2012-01-01,23647,142418
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012002_aid0001,aid0001,2012-01-02,26085,140962
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012003_aid0001,aid0001,2012-01-03,20342,146635
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012004_aid0001,aid0001,2012-01-04,16936,135688
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012005_aid0001,aid0001,2012-01-05,18173,128501
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012006_aid0001,aid0001,2012-01-06,19397,125246
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012007_aid0001,aid0001,2012-01-07,29005,140257
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012008_aid0001,aid0001,2012-01-08,46453,131119
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012009_aid0001,aid0001,2012-01-09,74282,106559
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012010_aid0001,aid0001,2012-01-10,87603,111023
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012011_aid0001,aid0001,2012-01-11,92169,102187
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012012_aid0001,aid0001,2012-01-12,83190,117859
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012013_aid0001,aid0001,2012-01-13,83837,105908
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012014_aid0001,aid0001,2012-01-14,84251,108216
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012015_aid0001,aid0001,2012-01-15,85589,125530
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012016_aid0001,aid0001,2012-01-16,84201,112894
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012017_aid0001,aid0001,2012-01-17,84577,125977
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012018_aid0001,aid0001,2012-01-18,85477,104100
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012019_aid0001,aid0001,2012-01-19,78422,107685
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012020_aid0001,aid0001,2012-01-20,74756,109961
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012021_aid0001,aid0001,2012-01-21,65901,118330
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012022_aid0001,aid0001,2012-01-22,59464,120904
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012023_aid0001,aid0001,2012-01-23,42267,134662
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012024_aid0001,aid0001,2012-01-24,18163,151005
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012025_aid0001,aid0001,2012-01-25,10957,143057
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012026_aid0001,aid0001,2012-01-26,7851,118115
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012027_aid0001,aid0001,2012-01-27,4283,83511
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012028_aid0001,aid0001,2012-01-28,4527,119282
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012029_aid0001,aid0001,2012-01-29,5344,137111
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012030_aid0001,aid0001,2012-01-30,7320,147576
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012031_aid0001,aid0001,2012-01-31,6887,146500
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012032_aid0001,aid0001,2012-02-01,7492,144734
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012033_aid0001,aid0001,2012-02-02,11880,144958
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012034_aid0001,aid0001,2012-02-03,13612,145488
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012035_aid0001,aid0001,2012-02-04,14275,142312
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012036_aid0001,aid0001,2012-02-05,16605,144645
BRDF_Albedo_Band_Mandatory_Quality_Band2_2012037_aid0001,aid0001,2012-02-06,19260,148478
