File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MCD43A4_061_Nadir_Reflectance_Band1_doy2012001_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-01,166990.0,0.0,0.991,"(0.0,0.991)",0.1389267,0.1662845,0.0276505,0.1831,0.4009,0.0593,0.0,0.0379
MCD43A4_061_Nadir_Reflectance_Band1_doy2012002_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-02,168054.0,0.0,0.9909,"(0.0,0.9909)",0.138722,0.1662057,0.0276243,0.1827,0.3997,0.0593,0.0,0.038
MCD43A4_061_Nadir_Reflectance_Band1_doy2012003_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-03,168091.0,0.0,0.9833,"(0.0,0.9833)",0.1384019,0.1662091,0.0276255,0.1835,0.4017,0.0592,0.0,0.038
MCD43A4_061_Nadir_Reflectance_Band1_doy2012004_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-04,153671.0,0.0,0.9867,"(0.0,0.9867)",0.1384956,0.1650598,0.0272447,0.1853,0.4067,0.0603,0.0,0.0377
MCD43A4_061_Nadir_Reflectance_Band1_doy2012005_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-05,147713.0,0.0,0.9897,"(0.0,0.9897)",0.1350624,0.1612003,0.0259855,0.1787,0.3903,0.0602,0.0,0.0376
MCD43A4_061_Nadir_Reflectance_Band1_doy2012006_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-06,145670.0,0.0,0.9794,"(0.0,0.9794)",0.134901,0.1611092,0.0259562,0.1786,0.3901,0.06,0.0,0.0376
MCD43A4_061_Nadir_Reflectance_Band1_doy2012007_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-07,170399.0,0.0,0.9827,"(0.0,0.9827)",0.1267322,0.1582213,0.025034,0.1504,0.3194,0.0572,0.0,0.0377
MCD43A4_061_Nadir_Reflectance_Band1_doy2012008_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-08,178227.0,0.0,0.9888,"(0.0,0.9888)",0.1317292,0.1629512,0.0265531,0.1597,0.3404,0.0587,0.0,0.0392
MCD43A4_061_Nadir_Reflectance_Band1_doy2012009_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-09,181426.0,0.0,0.9883,"(0.0,0.9883)",0.136044,0.1658317,0.0275001,0.1659,0.3519,0.0617,0.0,0.0419
MCD43A4_061_Nadir_Reflectance_Band1_doy2012010_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-10,199270.0,0.0,0.9813,"(0.0,0.9813)",0.1545191,0.1800614,0.0324221,0.2131,0.4664,0.0657,0.0,0.0442
MCD43A4_061_Nadir_Reflectance_Band1_doy2012011_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-11,194970.0,0.0,0.9963,"(0.0,0.9963)",0.1512709,0.1799437,0.0323797,0.1977,0.4267,0.0656,0.0,0.045
MCD43A4_061_Nadir_Reflectance_Band1_doy2012012_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-12,201463.0,0.0,0.9802,"(0.0,0.9802)",0.158632,0.1840897,0.033889,0.2185,0.4772,0.0675,0.0,0.046
MCD43A4_061_Nadir_Reflectance_Band1_doy2012013_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-13,190338.0,0.0,0.9804,"(0.0,0.9804)",0.1431327,0.1717871,0.0295108,0.1777,0.3773,0.0649,0.0,0.0446
MCD43A4_061_Nadir_Reflectance_Band1_doy2012014_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-14,193065.0,0.0,0.9925,"(0.0,0.9925)",0.1480354,0.1769748,0.0313201,0.1878,0.4018,0.0657,0.0,0.0451
MCD43A4_061_Nadir_Reflectance_Band1_doy2012015_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-15,211216.0,0.0,0.9813,"(0.0,0.9813)",0.172894,0.1968539,0.0387515,0.2487,0.5503,0.0707,0.0,0.0476
MCD43A4_061_Nadir_Reflectance_Band1_doy2012016_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-16,197421.0,0.0,0.9878,"(0.0,0.9878)",0.1573002,0.1873317,0.0350932,0.2071,0.4492,0.0667,0.0,0.0457
MCD43A4_061_Nadir_Reflectance_Band1_doy2012017_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-17,210628.0,0.0,0.9943,"(0.0,0.9943)",0.1697626,0.1927091,0.0371368,0.243125,0.5365,0.0706,0.0,0.0475
MCD43A4_061_Nadir_Reflectance_Band1_doy2012018_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-18,190122.0,0.0,0.9837,"(0.0,0.9837)",0.1438613,0.1722214,0.0296602,0.1766,0.3735,0.0659,0.0,0.0453
MCD43A4_061_Nadir_Reflectance_Band1_doy2012019_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-19,186242.0,0.0,0.9882,"(0.0,0.9882)",0.1416143,0.169418,0.0287025,0.1701,0.3568,0.0659,0.0,0.0456
MCD43A4_061_Nadir_Reflectance_Band1_doy2012020_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-20,184609.0,0.0,0.9884,"(0.0,0.9884)",0.1425474,0.1702154,0.0289733,0.1727,0.3633,0.0661,0.0,0.0456
MCD43A4_061_Nadir_Reflectance_Band1_doy2012021_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-21,184097.0,0.0,0.9885,"(0.0,0.9885)",0.1424561,0.1696902,0.0287948,0.1727,0.3627,0.0664,0.0,0.046
MCD43A4_061_Nadir_Reflectance_Band1_doy2012022_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-22,180229.0,0.0,0.9976,"(0.0,0.9976)",0.1456931,0.172204,0.0296542,0.1802,0.3807,0.0674,0.0,0.0465
MCD43A4_061_Nadir_Reflectance_Band1_doy2012023_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-23,176303.0,0.0,0.9956,"(0.0,0.9956)",0.1491127,0.1744414,0.0304298,0.1871,0.3963,0.0691,0.0,0.0476
MCD43A4_061_Nadir_Reflectance_Band1_doy2012024_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-24,168534.0,0.0,0.9876,"(0.0,0.9876)",0.1483049,0.1720507,0.0296015,0.1816,0.3797,0.0703,0.0,0.0495
MCD43A4_061_Nadir_Reflectance_Band1_doy2012025_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-25,153181.0,0.0,0.9901,"(0.0,0.9901)",0.1587959,0.1782519,0.0317737,0.2072,0.4398,0.0743,0.0,0.0521
MCD43A4_061_Nadir_Reflectance_Band1_doy2012026_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-26,125005.0,0.0,0.9952,"(0.0,0.9952)",0.2503218,0.2329758,0.0542777,0.4064,0.9224,0.1503,0.0,0.0624
MCD43A4_061_Nadir_Reflectance_Band1_doy2012027_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-27,87475.0,0.0,0.9832,"(0.0,0.9832)",0.3077,0.2323018,0.0539641,0.4848,0.9832,0.277,0.0,0.0816
MCD43A4_061_Nadir_Reflectance_Band1_doy2012028_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-28,123450.0,0.0,0.9818,"(0.0,0.9818)",0.3330014,0.2112764,0.0446377,0.4899,0.9818,0.3307,0.0,0.1502
MCD43A4_061_Nadir_Reflectance_Band1_doy2012029_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-29,142171.0,0.0,0.9894,"(0.0,0.9894)",0.3518123,0.208851,0.0436187,0.5077,0.9894,0.3547,0.0,0.1834
MCD43A4_061_Nadir_Reflectance_Band1_doy2012030_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-30,154688.0,0.0,0.9909,"(0.0,0.9909)",0.3578798,0.2048825,0.0419768,0.5096,0.9749,0.36,0.0,0.1982
MCD43A4_061_Nadir_Reflectance_Band1_doy2012031_aid0001,Nadir_Reflectance_Band1,aid0001,2012-01-31,153179.0,0.0,0.9923,"(0.0,0.9923)",0.3747292,0.1932077,0.0373292,0.5137,0.9366,0.3717,0.0,0.23175
MCD43A4_061_Nadir_Reflectance_Band1_doy2012032_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-01,152005.0,0.0,0.9885,"(0.0,0.9885)",0.391631,0.182901,0.0334528,0.5208,0.9172,0.3843,0.0,0.2563
MCD43A4_061_Nadir_Reflectance_Band1_doy2012033_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-02,156628.0,0.0,0.9828,"(0.0,0.9828)",0.3923704,0.1808612,0.0327108,0.5191,0.9096,0.3836,0.0,0.2587
MCD43A4_061_Nadir_Reflectance_Band1_doy2012034_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-03,158792.0,0.0,0.9888,"(0.0,0.9888)",0.3951583,0.1791983,0.032112,0.5201,0.9079,0.3849,0.0,0.2615
MCD43A4_061_Nadir_Reflectance_Band1_doy2012035_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-04,156195.0,0.0,0.9932,"(0.0,0.9932)",0.4028896,0.1711874,0.0293051,0.5195,0.888,0.3918,0.0,0.2737
MCD43A4_061_Nadir_Reflectance_Band1_doy2012036_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-05,160971.0,0.0,0.9921,"(0.0,0.9921)",0.4132329,0.1804479,0.0325615,0.5389,0.9337,0.4004,0.0,0.2757
MCD43A4_061_Nadir_Reflectance_Band1_doy2012037_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-06,167361.0,0.0,0.994,"(0.0,0.994)",0.4122186,0.180337,0.0325214,0.5366,0.9287,0.3985,0.0,0.2752
MCD43A4_061_Nadir_Reflectance_Band1_doy2012038_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-07,160697.0,0.0,0.9959,"(0.0,0.9959)",0.4024381,0.1773515,0.0314536,0.5246,0.9092,0.3888,0.0,0.268
MCD43A4_061_Nadir_Reflectance_Band1_doy2012039_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-08,164645.0,0.0,0.9898,"(0.0,0.9898)",0.3995077,0.1770656,0.0313522,0.5186,0.8959,0.3862,0.0,0.267
MCD43A4_061_Nadir_Reflectance_Band1_doy2012040_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-09,167893.0,0.0,0.9902,"(0.0,0.9902)",0.3973252,0.1796041,0.0322576,0.5174,0.8972,0.3838,0.0,0.2642
MCD43A4_061_Nadir_Reflectance_Band1_doy2012041_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-10,172409.0,0.0,0.9941,"(0.0,0.9941)",0.3889397,0.1859118,0.0345632,0.5149,0.9076,0.3776,0.0,0.253
MCD43A4_061_Nadir_Reflectance_Band1_doy2012042_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-11,184260.0,0.0,0.997,"(0.0,0.997)",0.3835054,0.1881367,0.0353954,0.5101,0.9067,0.3713,0.0,0.2457
MCD43A4_061_Nadir_Reflectance_Band1_doy2012043_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-12,184452.0,0.0,0.9971,"(0.0,0.9971)",0.3846916,0.1917955,0.0367855,0.5143,0.9202,0.37225,0.0,0.2437
MCD43A4_061_Nadir_Reflectance_Band1_doy2012044_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-13,176776.0,0.0,0.9952,"(0.0,0.9952)",0.3751667,0.1920553,0.0368852,0.5064,0.9163,0.3627,0.0,0.2327
MCD43A4_061_Nadir_Reflectance_Band1_doy2012045_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-14,185955.0,0.0,0.9929,"(0.0,0.9929)",0.3637068,0.2021433,0.0408619,0.5044,0.946,0.3522,0.0,0.2098
MCD43A4_061_Nadir_Reflectance_Band1_doy2012046_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-15,183608.0,0.0,0.9937,"(0.0,0.9937)",0.3473191,0.2064905,0.0426383,0.4942,0.9613,0.3364,0.0,0.1828
MCD43A4_061_Nadir_Reflectance_Band1_doy2012047_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-16,186576.0,0.0,0.9931,"(0.0,0.9931)",0.3488784,0.2101951,0.044182,0.4995,0.9828,0.3395,0.0,0.1773
MCD43A4_061_Nadir_Reflectance_Band1_doy2012048_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-17,199023.0,0.0,0.994,"(0.0,0.994)",0.3379848,0.2208805,0.0487882,0.4972,0.994,0.3263,0.0,0.1402
MCD43A4_061_Nadir_Reflectance_Band1_doy2012049_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-18,206338.0,0.0,0.9976,"(0.0,0.9976)",0.337533,0.2226598,0.0495774,0.4952,0.9976,0.3241,0.0,0.1372
MCD43A4_061_Nadir_Reflectance_Band1_doy2012050_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-19,190469.0,0.0,0.998,"(0.0,0.998)",0.3106473,0.2169364,0.0470614,0.4686,0.998,0.2927,0.0,0.1003
MCD43A4_061_Nadir_Reflectance_Band1_doy2012051_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-20,197926.0,0.0,0.9943,"(0.0,0.9943)",0.3019827,0.2190297,0.047974,0.4611,0.9943,0.2805,0.0,0.0891
MCD43A4_061_Nadir_Reflectance_Band1_doy2012052_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-21,203603.0,0.0,0.9984,"(0.0,0.9984)",0.2948588,0.2271791,0.0516103,0.46025,0.9984,0.2615,0.0,0.0805
MCD43A4_061_Nadir_Reflectance_Band1_doy2012053_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-22,210061.0,0.0,0.9952,"(0.0,0.9952)",0.2933059,0.228537,0.0522292,0.4596,0.9952,0.2593,0.0,0.0785
MCD43A4_061_Nadir_Reflectance_Band1_doy2012054_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-23,204010.0,0.0,0.9968,"(0.0,0.9968)",0.2755274,0.2242664,0.0502954,0.4417,0.9943,0.2294,0.0,0.0733
MCD43A4_061_Nadir_Reflectance_Band1_doy2012055_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-24,217714.0,0.0,0.9974,"(0.0,0.9974)",0.2879475,0.2345303,0.0550045,0.4595,0.9974,0.2435,0.0,0.0741
MCD43A4_061_Nadir_Reflectance_Band1_doy2012056_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-25,209133.0,0.0,0.9974,"(0.0,0.9974)",0.2639965,0.2266404,0.0513659,0.4311,0.973,0.195,0.0,0.0698
MCD43A4_061_Nadir_Reflectance_Band1_doy2012057_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-26,209378.0,0.0,0.9975,"(0.0,0.9975)",0.238098,0.2212056,0.0489319,0.3862,0.8665,0.13,0.0,0.066
MCD43A4_061_Nadir_Reflectance_Band1_doy2012058_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-27,218795.0,0.0,0.9991,"(0.0,0.9991)",0.2339509,0.2287932,0.0523463,0.3746,0.8399,0.1049,0.0,0.0644
MCD43A4_061_Nadir_Reflectance_Band1_doy2012059_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-28,214017.0,0.0,0.9998,"(0.0,0.9998)",0.2219867,0.2251093,0.0506742,0.3514,0.7838,0.0937,0.0,0.0631
MCD43A4_061_Nadir_Reflectance_Band1_doy2012060_aid0001,Nadir_Reflectance_Band1,aid0001,2012-02-29,221166.0,0.0,0.9999,"(0.0,0.9999)",0.2285578,0.2320013,0.0538246,0.3661,0.82,0.0942,0.0,0.0635
MCD43A4_061_Nadir_Reflectance_Band1_doy2012061_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-01,219444.0,0.0,0.9999,"(0.0,0.9999)",0.2256736,0.2361619,0.0557725,0.3559,0.7955,0.0907,0.0,0.062775
MCD43A4_061_Nadir_Reflectance_Band1_doy2012062_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-02,215785.0,0.0,0.9999,"(0.0,0.9999)",0.2187531,0.232189,0.0539117,0.339,0.7543,0.0885,0.0,0.0621
MCD43A4_061_Nadir_Reflectance_Band1_doy2012063_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-03,215079.0,0.0,0.9999,"(0.0,0.9999)",0.2137743,0.2283232,0.0521315,0.3252,0.72,0.0877,0.0,0.062
MCD43A4_061_Nadir_Reflectance_Band1_doy2012064_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-04,213231.0,0.0,0.9999,"(0.0,0.9999)",0.2113104,0.2269884,0.0515237,0.3181,0.7025,0.0871,0.0,0.0618
MCD43A4_061_Nadir_Reflectance_Band1_doy2012065_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-05,208833.0,0.0,0.9999,"(0.0,0.9999)",0.2059242,0.2243725,0.050343,0.3039,0.6678,0.0858,0.0,0.0613
MCD43A4_061_Nadir_Reflectance_Band1_doy2012066_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-06,211645.0,0.0,0.9999,"(0.0,0.9999)",0.207303,0.2256937,0.0509376,0.3074,0.6765,0.0857,0.0,0.0613
MCD43A4_061_Nadir_Reflectance_Band1_doy2012067_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-07,215035.0,0.0,0.9999,"(0.0,0.9999)",0.212918,0.2297234,0.0527728,0.322,0.7127,0.0861,0.0,0.0615
MCD43A4_061_Nadir_Reflectance_Band1_doy2012068_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-08,214624.0,0.0,0.9995,"(0.0,0.9995)",0.2111632,0.2287026,0.0523049,0.3192,0.7063,0.0857,0.0,0.0611
MCD43A4_061_Nadir_Reflectance_Band1_doy2012069_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-09,215816.0,0.0,0.9997,"(0.0,0.9997)",0.2152351,0.2329913,0.054285,0.3303,0.7341,0.0858,0.0,0.0611
MCD43A4_061_Nadir_Reflectance_Band1_doy2012070_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-10,216924.0,0.0,0.9999,"(0.0,0.9999)",0.2173308,0.235518,0.0554687,0.3366,0.7498,0.0858,0.0,0.0611
MCD43A4_061_Nadir_Reflectance_Band1_doy2012071_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-11,216264.0,0.0,0.9997,"(0.0,0.9997)",0.2062663,0.2277368,0.051864,0.3102,0.685,0.0838,0.0,0.0603
MCD43A4_061_Nadir_Reflectance_Band1_doy2012072_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-12,215794.0,0.0,0.9999,"(0.0,0.9999)",0.2020079,0.2272092,0.051624,0.2981,0.6555,0.0826,0.0,0.0598
MCD43A4_061_Nadir_Reflectance_Band1_doy2012073_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-13,218658.0,0.0,0.9996,"(0.0,0.9996)",0.2085585,0.2339152,0.0547163,0.3167,0.7024,0.0827,0.0,0.0595
MCD43A4_061_Nadir_Reflectance_Band1_doy2012074_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-14,225313.0,0.0,0.9999,"(0.0,0.9999)",0.2152309,0.2362885,0.0558322,0.334,0.7438,0.0849,0.0,0.0608
MCD43A4_061_Nadir_Reflectance_Band1_doy2012075_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-15,221278.0,0.0,0.9999,"(0.0,0.9999)",0.20692,0.2334519,0.0544998,0.3087,0.6828,0.082,0.0,0.0593
MCD43A4_061_Nadir_Reflectance_Band1_doy2012076_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-16,225260.0,0.0,0.9996,"(0.0,0.9996)",0.2096973,0.232764,0.0541791,0.319925,0.7101,0.083,0.0,0.0598
MCD43A4_061_Nadir_Reflectance_Band1_doy2012077_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-17,222707.0,0.0,0.9998,"(0.0,0.9998)",0.2051367,0.2310625,0.0533899,0.305,0.6741,0.0814,0.0,0.0589
MCD43A4_061_Nadir_Reflectance_Band1_doy2012078_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-18,221908.0,0.0,0.9998,"(0.0,0.9998)",0.2083188,0.2321234,0.0538813,0.319,0.709,0.0813,0.0,0.059
MCD43A4_061_Nadir_Reflectance_Band1_doy2012079_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-19,219862.0,0.0,0.9992,"(0.0,0.9992)",0.2178205,0.2349072,0.0551814,0.3444,0.7719,0.0838,0.0,0.0594
MCD43A4_061_Nadir_Reflectance_Band1_doy2012080_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-20,221670.0,0.0,0.9999,"(0.0,0.9999)",0.2197507,0.2374079,0.0563625,0.3494,0.7851,0.0832,0.0,0.0589
MCD43A4_061_Nadir_Reflectance_Band1_doy2012081_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-21,228646.0,0.0,0.9999,"(0.0,0.9999)",0.2183861,0.2360972,0.0557419,0.342,0.7659,0.0837,0.0,0.0594
MCD43A4_061_Nadir_Reflectance_Band1_doy2012082_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-22,227544.0,0.0,0.9999,"(0.0,0.9999)",0.2081521,0.2314235,0.0535568,0.317025,0.7063,0.0796,0.0,0.0575
MCD43A4_061_Nadir_Reflectance_Band1_doy2012083_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-23,225669.0,0.0,0.9999,"(0.0,0.9999)",0.1993172,0.225154,0.0506943,0.2932,0.6469,0.0784,0.0,0.0574
MCD43A4_061_Nadir_Reflectance_Band1_doy2012084_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-24,225901.0,0.0,0.9998,"(0.0,0.9998)",0.1923983,0.2218273,0.0492073,0.2712,0.5932,0.0764,0.0,0.0565
MCD43A4_061_Nadir_Reflectance_Band1_doy2012085_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-25,221788.0,0.0,0.9999,"(0.0,0.9999)",0.1824787,0.2147902,0.0461348,0.239425,0.5144,0.0749,0.0,0.0561
MCD43A4_061_Nadir_Reflectance_Band1_doy2012086_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-26,224295.0,0.0,0.9997,"(0.0,0.9997)",0.1837746,0.2172725,0.0472073,0.241,0.5189,0.0745,0.0,0.0557
MCD43A4_061_Nadir_Reflectance_Band1_doy2012087_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-27,223200.0,0.0,0.9999,"(0.0,0.9999)",0.1822187,0.2166237,0.0469258,0.234025,0.5015,0.0744,0.0,0.0557
MCD43A4_061_Nadir_Reflectance_Band1_doy2012088_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-28,222671.0,0.0,0.9997,"(0.0,0.9997)",0.182811,0.2173729,0.047251,0.2321,0.4962,0.0748,0.0,0.056
MCD43A4_061_Nadir_Reflectance_Band1_doy2012089_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-29,221621.0,0.0,0.9999,"(0.0,0.9999)",0.1799223,0.2147799,0.0461304,0.2207,0.4677,0.0746,0.0,0.056
MCD43A4_061_Nadir_Reflectance_Band1_doy2012090_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-30,219230.0,0.0,0.9996,"(0.0,0.9996)",0.1761902,0.2106894,0.04439,0.2057,0.4299,0.0745,0.0,0.0562
MCD43A4_061_Nadir_Reflectance_Band1_doy2012091_aid0001,Nadir_Reflectance_Band1,aid0001,2012-03-31,218463.0,0.0,0.9999,"(0.0,0.9999)",0.173841,0.2084534,0.0434528,0.1984,0.4124,0.074,0.0,0.0557
MCD43A4_061_Nadir_Reflectance_Band1_doy2012092_aid0001,Nadir_Reflectance_Band1,aid0001,2012-04-01,213039.0,0.0,0.9995,"(0.0,0.9995)",0.1673918,0.2033277,0.0413422,0.1654,0.3302,0.0732,0.0,0.0555
MCD43A4_061_Nadir_Reflectance_Band1_doy2012093_aid0001,Nadir_Reflectance_Band1,aid0001,2012-04-02,211870.0,0.0,0.9998,"(0.0,0.9998)",0.1643783,0.2001187,0.0400475,0.1554,0.306,0.0724,0.0,0.055
MCD43A4_061_Nadir_Reflectance_Band1_doy2012094_aid0001,Nadir_Reflectance_Band1,aid0001,2012-04-03,211604.0,0.0,0.9999,"(0.0,0.9999)",0.1655071,0.2030839,0.0412431,0.1515,0.2964,0.0723,0.0,0.0549
MCD43A4_061_Nadir_Reflectance_Band1_doy2012095_aid0001,Nadir_Reflectance_Band1,aid0001,2012-04-04,207093.0,0.0,0.9998,"(0.0,0.9998)",0.1609092,0.1999047,0.0399619,0.1289,0.2403,0.0715,0.0,0.0546
MCD43A4_061_Nadir_Reflectance_Band1_doy2012096_aid0001,Nadir_Reflectance_Band1,aid0001,2012-04-05,201580.0,0.0,0.9998,"(0.0,0.9998)",0.1573912,0.1984732,0.0393916,0.1159,0.2086,0.0705,0.0,0.0541
MCD43A4_061_Nadir_Reflectance_Band1_doy2012097_aid0001,Nadir_Reflectance_Band1,aid0001,2012-04-06,184439.0,0.0,0.9998,"(0.0,0.9998)",0.1363364,0.1792262,0.032122,0.095,0.1583,0.0678,0.0,0.0528
MCD43A4_061_Nadir_Reflectance_Band1_doy2012098_aid0001,Nadir_Reflectance_Band1,aid0001,2012-04-07,177799.0,0.0,0.9996,"(0.0,0.9996)",0.1321348,0.1782902,0.0317874,0.0911,0.1497,0.0665,0.0,0.052
MCD43A4_061_Nadir_Reflectance_Band1_doy2012099_aid0001,Nadir_Reflectance_Band1,aid0001,2012-04-08,168929.0,0.0,0.9979,"(0.0,0.9979)",0.1252846,0.1730769,0.0299556,0.0876,0.1413,0.0657,0.0,0.0518
MCD43A4_061_Nadir_Reflectance_Band1_doy2012100_aid0001,Nadir_Reflectance_Band1,aid0001,2012-04-09,158851.0,0.0,0.9991,"(0.0,0.9991)",0.120378,0.1706987,0.0291381,0.0847,0.1364,0.0638,0.0,0.0502
MCD43A4_061_Nadir_Reflectance_Band1_doy2012101_aid0001,Nadir_Reflectance_Band1,aid0001,2012-04-10,156099.0,0.0,0.9993,"(0.0,0.9993)",0.1255071,0.18269,0.0333756,0.0827,0.1343,0.0615,0.0,0.0483
MCD43A4_061_Nadir_Reflectance_Band1_doy2012102_aid0001,Nadir_Reflectance_Band1,aid0001,2012-04-11,47120.0,0.0,0.998,"(0.0,0.998)",0.1494786,0.2172331,0.0471902,0.0857,0.1466,0.0595,0.0,0.045
MCD43A4_061_Nadir_Reflectance_Band1_doy2012103_aid0001,Nadir_Reflectance_Band1,aid0001,2012-04-12,46252.0,0.0,0.9976,"(0.0,0.9976)",0.1516181,0.2203103,0.0485366,0.085725,0.1469,0.0589,0.0,0.0448
MCD43A4_061_Nadir_Reflectance_Band1_doy2012104_aid0001,Nadir_Reflectance_Band1,aid0001,2012-04-13,48466.0,0.0,0.9998,"(0.0,0.9998)",0.1574058,0.2262549,0.0511913,0.0885,0.1529,0.0597,0.0,0.0454
MCD43A4_061_Nadir_Reflectance_Band1_doy2012105_aid0001,Nadir_Reflectance_Band1,aid0001,2012-04-14,49286.0,0.0,0.9998,"(0.0,0.9998)",0.1581741,0.226399,0.0512565,0.089375,0.1553,0.0599,0.0,0.0454
MCD43A4_061_Nadir_Reflectance_Band1_doy2012106_aid0001,Nadir_Reflectance_Band1,aid0001,2012-04-15,58134.0,0.0,0.9989,"(0.0,0.9989)",0.1393102,0.2048887,0.0419794,0.0834,0.1412,0.0585,0.0,0.0448
MCD43A4_061_Nadir_Reflectance_Band1_doy2012107_aid0001,Nadir_Reflectance_Band1,aid0001,2012-04-16,73802.0,0.0,0.9998,"(0.0,0.9998)",0.1487923,0.2166562,0.0469399,0.0855,0.1458,0.0587,0.0,0.0453
